Name,"B cyc,1 (MG)","B cyc,2 (MG)","B Zeem,phot (MG)","B Zeem,halo (MG)",T eff (K),P rot (min),Mass (M⊙),References notes
SDSS J030308.35+005444.1,…,…,8,…,9150,193.6,0.84,143
SDSS J083751.0+383012.5,…,…,…,…,…,178.8,…,87
HS 0922+1333,66,81,…,…,≤8000,242.4,…,"144, 145, 146"
WX LMi (=HS 1023+3900 ),61,70,…,…,…,166.9,…,"147, 148, 149"
IL Leo (=SDSS J103100.55+202832.2),42,…,…,…,9500,83.2,…,150
SDSS J105905.06+272755.4,57,…,…,…,≤ 8500,150,…,150
SDSS J120615.73+510047.0,108,…,…,…,9000,197,…,151
PZ Vir (=J132411.57+032050.4),63,…,…,…,≲ 7500,158.7,…,"152, 153, 154"
MQ Dra (=SDSS J155331.11+551614.4),58,…,…,…,≲10000,263.5,…,"152, 154"
SDSS J204827.91+005008.9,62,…,…,…,7500,252,…,154