Target,Teff,e_Teff,logg,e_logg,si,si_e,c,c_e,o,o_e,s,s_e,mass,q,tdiff_si,tdiff_c,tdiff_o,tdiff_s
V-UZ-SEX,17146,15,7.801,0.007,-7.08,0.03,-6.21,0.05,-6.44,0.07,-7.36,0.30,0.511,-16.343,-1.997,-2.272,-2.135,-2.272
V-LM-COM,28878,1122,7.358,0.1,-6.96,0.04,-5.90,0.04,-5.63,0.00,-6.96,0.00,0.424,-15.4,-0.913,-1.069,-1.024,-1.069
WD-1339+606,37074,76,7.449,0.005,-7.88,0.40,-8.32,0.10,-8.05,0.40,-7.34,0.80,0,0,0,0,0,0
WD-1504+546,21730,53,7.67,0.01,-7.13,0.20,-8.25,0.09,-8.15,0.30,-7.43,0.60,0.464,-15.894,-1.515,-1.609,-1.758,-1.609
WD-2317+268,28403,19,7.585,0.005,-6.78,0.03,-5.82,0.03,-4.66,0.10,-6.65,0.20,0.452,-15.541,-1.068,-1.232,-1.195,-1.232
WD-1436-216	,22814,38,7.658,0.01,-7.19,0.05,-6.27,0.10,-5.92,0.40,-8.18,0.10,0.463,-15.83,-1.453,-1.548,-1.699,-1.548
WD-1458+171	,21406,4,7.445,0.0003,-6.19,0.30,-5.09,0.04,-5.96,0.00,-6.51,0.00,0.399,-15.65,-1.25,-1.344,-1.496,-1.344
WD2257+162,22886,33,7.24,0.008,-7.38,0.05,-6.27,0.05,-8.03,0.50,-7.34,0.10,0.404,-15.587,-1.19,-1.288,-1.439,-1.288
WD2256+249,21488,17,7.73,0.006,-6.88,0.02,-5.76,0.02,-5.72,0.05,-7.39,0.20,0.49,-15.996,-1.622,-1.719,-1.862,-1.719
WD0710+741,18732,30,7.35,0.01,-6.96,0.04,-5.73,0.05,-5.84,1.00,-6.92,0.30,0.389,-15.788,-1.366,-1.544,-1.581,-1.544